Id,title,artist,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top genre
131,The Riddle,Nik Kershaw,1984,102,66,58,-8,14,90,235,12,3,63,dance rock
132,It's All In The Game,Tommy Edwards,1994,105,28,38,-14,31,65,159,4,3,49,deep adult standards
133,7 Days,Craig David,2001,83,81,66,-7,10,89,235,23,5,70,british soul
134,Take It Easy - 2013 Remaster,Eagles,1972,139,67,57,-10,13,74,212,34,3,75,album rock
135,Everybody Loves Somebody,Dean Martin,2013,81,49,26,-9,34,40,162,81,4,61,adult standards
136,Walkin’ My Baby Back Home,Dean Martin,2007,127,17,72,-13,7,78,175,98,7,39,adult standards
137,Be With You,Enrique Iglesias,1999,122,87,68,-5,5,54,219,4,3,55,dance pop
138,Valerie,Steve Winwood,1982,116,53,72,-11,8,73,247,57,3,65,album rock
139,The Winner Takes It All,ABBA,1980,126,79,45,-7,9,52,295,57,4,72,europop
140,"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,2000,140,31,63,-12,7,24,233,61,3,67,album rock
141,Moviestar,Harpo,1976,119,79,55,-8,33,71,202,29,3,56,classic uk pop
142,Poetry In Motion,Johnny Tillotson,2011,135,71,49,-7,10,90,154,40,3,41,adult standards
143,Angels,Robbie Williams,1997,150,59,43,-6,10,24,265,16,3,73,dance pop
144,What the World Needs Now Is Love,Dionne Warwick,2016,112,36,57,-10,14,40,190,92,4,51,adult standards
145,Tulips From Amsterdam,Max Bygraves,2000,93,45,56,-7,15,70,135,49,3,41,british comedy
146,If You Ever,East 17,1996,140,68,58,-9,31,57,255,18,3,48,boy band
147,Daddy Cool,Boney M.,1994,125,63,75,-12,23,96,206,25,4,53,disco
148,Radio Ga Ga - 2011 Mix,Queen,1984,112,50,74,-8,19,66,348,18,4,76,glam rock
149,Lollipop,Lil Wayne,2008,148,43,83,-9,14,45,299,6,8,71,hip hop
150,I Think We're Alone Now,Tiffany,2008,130,89,65,-5,9,70,227,0,4,58,new wave pop
151,Higher Love - Single Version,Steve Winwood,2007,99,89,70,-7,50,92,252,6,4,66,album rock
152,My Heart Belongs to Me,Barbra Streisand,1977,139,21,27,-16,18,30,201,74,3,44,adult standards
153,Please Don't Go,Double You,1992,120,84,71,-12,3,49,200,6,4,59,eurodance
154,I'll Be Missing You (feat. 112),Diddy,2004,110,48,86,-9,59,93,302,5,6,71,dance pop
155,Brothers In Arms,Dire Straits,1985,79,30,41,-14,18,14,424,53,3,71,album rock
156,Goin' Back,The Byrds,1968,116,45,50,-10,12,55,206,36,3,47,art rock
157,Waterloo Sunset - Mono Mix,The Kinks,1967,108,69,51,-7,17,42,194,16,2,65,album rock
158,Raindrops,Roy Orbison,1961,103,44,59,-10,5,90,113,52,3,38,adult standards
159,Doctor Doctor - 2007 Remaster,UFO,1974,143,80,30,-7,50,56,252,0,5,60,album rock
160,Material Girl,Madonna,2009,137,88,74,-3,10,98,240,33,3,72,dance pop
161,Panama - 2015 Remaster,Van Halen,1984,141,98,53,-5,7,46,210,0,11,73,album rock
162,Every Time You Go Away - Radio Edit,Paul Young,1991,164,72,57,-9,22,84,267,19,4,70,album rock
163,Another One Bites The Dust - Remastered 2011,Queen,1980,110,53,93,-6,16,75,215,11,16,82,glam rock
164,Knock You Down,Keri Hilson,2009,155,88,59,-5,17,65,326,1,16,56,dance pop
165,Baby I Need Your Loving,Four Tops,1965,121,69,63,-6,19,65,166,44,4,63,adult standards
166,Sweet Dreams,La Bouche,2007,134,96,66,-6,9,83,205,8,5,62,bubblegum dance
167,The Rhythm of the Night,Corona,1994,128,81,69,-12,10,80,264,0,3,69,bubblegum dance
168,Dancing With Myself,Billy Idol,1985,177,70,51,-11,30,91,360,2,8,68,album rock
169,When the Children Cry,White Lion,1987,130,24,49,-14,7,38,259,67,3,61,album rock
170,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,2004,171,74,69,-5,34,6,322,1,26,76,detroit hip hop
171,Silence Is Golden,The Tremeloes,1997,112,56,44,-7,24,58,191,6,3,53,adult standards
172,Born in the U.S.A.,Bruce Springsteen,1984,122,95,40,-6,10,58,279,0,6,75,classic rock
173,Immigrant Song - Remaster,Led Zeppelin,1970,113,93,56,-10,35,62,146,1,6,77,album rock
174,Dancing In The Moonlight,King Harvest,1973,136,72,65,-5,41,68,178,68,4,56,soft rock
175,Surf City - Remastered 1990/Stereo Remix,Jan & Dean,1990,148,65,47,-14,34,94,163,60,3,48,brill building pop
176,Dream A Little Dream Of Me,Ella Fitzgerald,1963,72,7,28,-24,11,22,246,93,8,54,adult standards
177,Fame - Rerecorded,Irene Cara,2018,131,80,71,-7,8,94,319,7,3,62,dance rock
178,Please Mr. Postman,Carpenters,1975,133,55,66,-12,24,96,173,14,3,62,adult standards
179,Pon de Replay,Rihanna,2005,99,64,78,-8,10,50,247,0,16,73,barbadian pop
180,Won't Get Fooled Again - Original Album Version,The Who,1971,135,92,69,-6,8,23,511,30,6,65,album rock
181,Boom Boom Pow,The Black Eyed Peas,2009,130,86,87,-6,13,40,251,13,7,68,dance pop
182,Locomotive,Thelonious Monk,1967,112,44,67,-11,13,70,400,78,4,46,bebop
183,We Will Rock You - Remastered,Queen,1977,81,50,69,-7,26,48,122,68,12,79,glam rock
184,Thank God I Found You,Mariah Carey,1999,130,53,47,-6,11,15,257,59,3,61,dance pop
185,Moving too fast - Radio Edit,Artful Dodger,2012,127,51,84,-11,3,52,238,9,5,57,uk garage
186,This Will Be Our Year,The Zombies,1968,98,42,54,-7,19,54,128,63,3,61,art rock
187,Imagine - Remastered,John Lennon,1971,76,26,55,-12,9,17,188,91,3,77,album rock
188,Bump Bump Bump,B2K,2003,96,68,84,-6,5,89,283,10,21,60,boy band
189,TiK ToK,Kesha,2014,120,67,75,-7,28,63,200,6,12,63,dance pop
190,Since You Been Gone,Rainbow,1997,121,60,73,-10,60,94,198,37,4,63,album rock
191,Mamma Mia,ABBA,1975,138,75,75,-7,47,83,213,30,3,72,europop
192,You Mean Everything to Me,Neil Sedaka,1959,72,43,37,-8,13,68,158,52,3,48,adult standards
193,Impossible - Main,Shontelle,2019,90,57,59,-5,11,51,226,44,4,32,barbadian pop
194,Real Real Gone,Van Morrison,1990,142,85,70,-7,19,95,221,38,3,56,classic rock
195,Boom Boom Boom Boom!!,Vengaboys,2000,138,89,80,-7,3,97,202,1,4,73,bubblegum dance
196,Live Wire,The Meters,1969,114,77,68,-12,17,96,160,27,4,36,afrobeat
197,Take A Bow,Rihanna,2008,82,47,70,-8,9,57,229,25,7,77,barbadian pop
198,Sweet Caroline,Neil Diamond,1969,63,13,53,-16,24,58,204,61,3,78,adult standards
199,A Song for You,Donny Hathaway,1971,88,22,32,-13,25,7,326,82,4,65,chicago soul
200,Brandy (You're a Fine Girl),Looking Glass,1972,125,63,72,-11,13,83,187,40,6,73,soft rock
201,We Are Never Ever Getting Back Together,Taylor Swift,2012,86,68,63,-6,12,75,193,1,9,73,dance pop
202,Whatever Will Be Will Be (Que Sera Sera) (with Frank DeVol & His Orchestra) - Single Version,Doris Day,1948,177,34,42,-11,72,78,123,86,4,62,adult standards
203,Beautiful Girls,Sean Kingston,2014,118,64,54,-7,24,75,242,14,9,60,dance pop
204,Sexy Bitch (feat. Akon) - Extended,David Guetta,2009,130,30,96,-6,8,80,312,2,13,60,dance pop
205,American Boy,Estelle,2008,118,73,73,-3,7,51,285,17,33,79,r&b
206,Love Lockdown,Kanye West,2008,120,52,76,-8,11,11,270,5,3,67,chicago rap
207,Sacrifice,Elton John,1989,113,42,76,-13,4,49,304,2,3,72,glam rock
208,I Want You,Marvin Gaye,1976,101,79,52,-10,24,74,274,85,3,56,classic soul
209,Heaven,Bryan Adams,1984,140,59,38,-7,12,34,243,5,3,76,album rock
210,Waterloo,ABBA,1974,148,95,45,-5,9,65,169,40,5,66,europop
211,Love Comes To Everyone - 2004 Mix,George Harrison,1979,107,68,72,-9,5,51,276,7,4,55,album rock
212,Cold as Ice - 2008 Remaster,Foreigner,2008,131,71,55,-5,14,51,200,6,3,57,album rock
213,Gloria,Laura Branigan,1995,131,87,78,-4,15,88,295,14,3,66,dance rock
214,Sunshine Reggae,Laid Back,2008,168,79,70,-6,8,93,258,10,4,64,classic danish pop
215,Sunny,Boney M.,1976,122,87,65,-6,13,80,242,9,11,64,disco
216,Seven Days,Anne Shelton,2016,90,27,53,-8,27,72,149,89,3,33,british dance band
217,When the Heartache Is Over,Tina Turner,1999,115,77,69,-6,7,43,224,1,3,58,disco
218,Sailing,Rod Stewart,1975,129,37,43,-10,32,19,278,37,3,68,adult standards
219,A Tear Fell,Teresa Brewer,1995,86,16,42,-16,18,46,156,92,5,37,adult standards
220,Let There Be You,The Five Keys,1989,92,11,36,-15,20,23,154,97,3,38,doo-wop
221,If I Give My Heart To You,The Teddy Bears,2011,113,29,49,-10,12,29,118,86,3,40,
222,Freed From Desire,Gala,2007,129,86,70,-4,10,64,213,59,5,71,eurodance
223,On The Sunny Side Of The Ocean,John Fahey,1965,116,73,48,-10,16,48,193,81,3,41,drone folk
224,Fire on the Mountain,The Marshall Tucker Band,1975,102,83,51,-6,16,57,236,11,4,58,album rock
225,I Got Lucky,Elvis Presley,1971,93,39,73,-12,20,96,116,84,4,49,adult standards
226,Mr. Blue,The Fleetwoods,1993,97,9,37,-17,11,21,145,93,4,55,adult standards
227,The Shape I'm In - Remastered 2000,The Band,1970,128,67,72,-8,30,96,241,24,4,54,album rock
228,Picture Of You,Boyzone,1997,117,92,76,-6,37,88,206,10,4,65,boy band
229,Cheri Cheri Lady,Modern Talking,1985,114,62,68,-14,35,85,226,46,3,66,eurodance
230,Fix You,Coldplay,2005,138,42,21,-9,11,12,296,16,3,81,permanent wave
231,Summer Of '69,Bryan Adams,1984,139,83,51,-6,7,77,216,2,4,80,album rock
232,Kisses Sweeter Than Wine,Frankie Vaughan,2010,87,46,57,-9,18,86,138,61,5,31,merseybeat
233,Flashdance...What a Feeling - Radio Edit,Irene Cara,1983,122,65,57,-7,9,40,237,1,3,70,dance rock
234,Knowing Me Knowing You,ABBA,1976,107,73,55,-7,24,91,242,4,3,61,europop
235,The Scientist,Coldplay,2002,146,44,56,-7,11,21,310,73,2,83,permanent wave
236,Rhythm Of The Night,DeBarge,1985,115,76,71,-12,8,96,229,8,5,64,disco
237,Gangsta's Paradise,Coolio,1995,80,63,64,-6,40,42,242,4,5,54,g funk
238,Gloria - Stereo Version,Them,2015,129,70,64,-10,10,72,157,40,5,62,blues rock
239,I'll Be There,Mariah Carey,1998,82,51,41,-10,93,30,264,70,3,56,dance pop
240,Bennie And The Jets - Remastered 2014,Elton John,1973,133,67,67,-8,50,78,323,26,5,65,glam rock
241,Brother Louie,Modern Talking,1986,109,84,78,-9,14,83,223,40,5,67,eurodance
242,Stronger,Kanye West,2007,104,72,62,-8,41,49,312,1,15,80,chicago rap
243,Telstar,The Tornados,1962,146,75,20,-7,38,63,195,0,4,45,british invasion
244,Nothing's Gonna Change My Love For You,Glenn Medeiros,1986,142,43,45,-13,6,39,232,57,4,64,soft rock
245,Have You Ever - Radio Edit,Brandy,2005,134,48,68,-7,30,23,215,60,4,54,dance pop
246,Heaven Is a Place on Earth,Belinda Carlisle,2013,123,85,64,-8,5,79,247,2,3,70,dance pop
247,Superstar,Jamelia,2003,110,65,80,-7,4,82,215,5,4,67,europop
248,I Have Nothing - Film Version,Whitney Houston,2017,153,45,49,-9,9,17,296,76,3,61,dance pop
249,Ain't No Mountain High Enough,Diana Ross,2017,99,79,39,-5,38,38,215,19,4,60,adult standards
250,Lonesome Town - 1990 Digital Remaster,Ricky Nelson,1990,78,10,51,-18,10,30,136,86,3,54,adult standards
251,Father And Son,Yusuf / Cat Stevens,1970,136,33,50,-11,10,40,221,59,3,74,british folk
252,My September Love,David Whitfield,2000,137,21,24,-17,20,14,166,65,3,33,deep adult standards
253,Happy Days And Lonely Nights,Suzi Miller And Johnson Brothers,2012,142,38,65,-8,13,69,146,43,3,27,
254,Fat Bottomed Girls - 2011 Remaster,Queen,1978,89,68,33,-8,34,42,256,3,5,67,glam rock
255,I Know What You Want (feat. Flipmode Squad),Busta Rhymes,2002,86,75,56,-4,64,49,324,1,32,56,east coast hip hop
256,Don't Go Breaking My Heart,Elton John,1975,131,84,73,-9,6,78,275,15,3,75,glam rock
257,Breakeven,The Script,2008,94,70,63,-5,8,49,261,14,2,68,celtic rock
258,Killer Queen - 2011 Mix,Queen,1974,117,65,54,-6,13,61,180,39,5,51,glam rock
259,Can't Take My Eyes Off You,Frankie Valli,2017,124,78,58,-7,8,56,204,51,6,53,adult standards
260,What A Girl Wants - Eddie Arroyo Dance Radio Edit,Christina Aguilera,1999,130,92,75,-7,7,66,244,1,3,40,dance pop
261,Dreams,Gabrielle,1993,99,47,75,-14,22,57,223,17,4,64,british soul
262,Come On Eileen,Dexys Midnight Runners,2009,107,87,41,-4,8,82,206,20,9,68,bow pop
263,Isfahan,Duke Ellington,1967,173,7,25,-14,10,9,246,98,3,47,adult standards
264,Africa,TOTO,1982,93,37,67,-18,5,73,296,26,3,83,album rock
265,What Becomes Of The Brokenhearted,Jimmy Ruffin,1989,99,42,72,-13,57,60,176,62,3,59,brill building pop
266,Stairway Of Love,Terry Dene,2015,93,62,62,-7,25,86,120,55,4,27,
267,You,Ten Sharp,1991,174,90,41,-8,19,67,273,43,3,61,
268,Indian Reservation (The Lament of the Cherokee Reservation Indian),Paul Revere & The Raiders,1971,132,39,64,-13,9,21,172,28,8,46,brill building pop
269,Everything I Own,Bread,1972,79,34,37,-13,10,45,187,74,3,69,adult standards
270,Last Christmas,Wham!,2019,108,58,74,-9,18,94,265,19,3,78,dance rock
271,Friday On My Mind,The Easybeats,1965,95,99,37,-1,9,51,163,38,8,59,australian rock
272,Doin' It,LL Cool J,1996,95,53,81,-12,12,62,294,34,19,46,east coast hip hop
273,Let It Be - Remastered 2009,The Beatles,1970,143,40,44,-8,11,41,243,63,3,79,british invasion
274,My Spiritual Indian,Eddie Palmieri,1969,121,92,48,-6,7,50,400,58,8,41,boogaloo
275,Pinball Wizard,The Who,1969,124,72,54,-9,26,47,181,2,4,69,album rock
276,Return of the Mack,Mark Morrison,1996,95,83,72,-5,16,61,213,1,11,72,british soul
277,Fantasy,Mariah Carey,1995,102,73,67,-8,12,80,243,14,4,70,dance pop
278,Don't Stop The Music,Rihanna,2008,123,67,84,-6,5,54,267,3,6,76,barbadian pop
279,Rockstar,Nickelback,2005,144,91,62,-3,34,69,252,5,4,71,alternative metal
280,Detroit Rock City,KISS,1978,91,90,55,-7,29,46,216,4,7,68,album rock
281,Please Mr. Postman,The Marvelettes,1961,122,78,79,-5,18,97,148,73,3,68,brill building pop
282,Rhythm of the Rain,The Cascades,1963,117,66,66,-8,14,67,146,63,4,59,adult standards
283,Something,Lasgo,2001,140,98,64,-7,11,38,221,3,4,63,belgian dance
284,You Give Love A Bad Name,Bon Jovi,1986,123,96,54,-3,34,81,223,7,5,80,glam metal
