Id,title,artist,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
525,Three Times A Lady,Commodores,2008,151,13,37,-17,14,20,215,94,3,56
526,Young Girl,Gary Puckett & The Union Gap,1968,119,54,41,-8,51,45,194,65,3,56
527,Dancing Queen,ABBA,2008,101,93,51,-4,56,68,231,17,5,65
528,Stuck On You,Lionel Richie,1983,132,32,51,-16,9,25,192,62,3,69
529,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,2001,94,71,84,-5,11,92,267,2,6,72
530,The Tide Is High - Radio Mix,Atomic Kitten,2003,103,69,78,-3,3,64,205,2,3,66
531,Mysterious Girl - Radio Edit,Peter Andre,2004,172,82,66,-6,30,86,217,14,21,62
532,I'll Be Over You,TOTO,1986,82,28,52,-18,26,41,230,6,3,68
533,Here You Come Again,Dolly Parton,1977,106,51,53,-9,4,56,179,65,4,66
534,In the End,Linkin Park,2000,105,86,56,-6,21,40,217,1,6,83
535,I'm Still Standing,Elton John,1983,177,90,50,-7,14,77,183,36,18,79
536,Little Bit Of Rain,Karen Dalton,1969,174,6,43,-22,10,36,157,93,4,56
537,Somebody To Love - 2011 Mix,Queen,1976,109,70,41,-7,23,33,296,19,6,75
538,You Ain't Goin' Nowhere,The Byrds,1968,132,43,51,-14,76,70,153,11,4,53
539,Pjanoo - Radio Edit,Eric Prydz,2008,126,87,60,-5,11,84,157,0,3,65
540,About You Now,Sugababes,2007,82,70,58,-6,49,59,212,0,4,65
541,Hot N Cold,Katy Perry,2008,132,84,71,-4,7,86,220,0,4,69
542,This Diamond Ring,Gary Lewis & The Playboys,2011,133,61,63,-11,14,78,137,33,3,41
543,How Am I Supposed to Live Without You,Michael Bolton,1989,140,44,54,-12,11,23,256,19,3,69
544,Eddie My Love,The Chordettes,2012,108,14,57,-12,13,39,135,82,3,38
545,You Found Me,The Fray,2009,152,80,34,-5,14,40,242,2,4,74
546,Big in Japan,Alphaville,1984,98,41,75,-15,34,24,286,7,4,65
547,Ridin',Chamillionaire,2005,143,80,79,-5,30,84,303,19,10,69
548,One More Night - 2016 Remaster,Phil Collins,1985,136,44,53,-9,10,34,289,79,3,68
549,The Power of Love,C̩line Dion,1993,140,52,55,-9,24,25,342,36,3,68
550,September Earth, Wind & Fire,2014,126,83,69,-7,25,98,215,17,3,60
551,Baby Come To Me,Patti Austin,1981,90,50,63,-12,14,70,215,55,8,62
552,Say You Say Me,Lionel Richie,1986,128,41,64,-11,8,26,241,36,3,70
553,Everybody Loves Somebody,Dean Martin,2014,119,41,50,-12,35,46,164,86,4,49
554,Trouble Every Day,Frank Zappa,1966,121,78,31,-13,90,48,350,51,8,44
555,Relight My Fire (feat. Lulu),Take That,1993,123,94,65,-7,10,93,252,4,5,61
556,Carrie,Europe,1986,137,49,46,-7,36,14,272,11,3,70
557,She's Got You - Single Version,Patsy Cline,1962,182,14,39,-18,11,57,182,94,4,57
558,Marianne,The Hilltoppers,2019,106,55,71,-8,19,82,137,73,4,33
559,Sledgehammer,Peter Gabriel,1986,96,69,66,-5,4,42,314,2,3,64
560,Weak,SWV,1992,128,53,69,-11,7,57,292,11,4,66
561,"Rhythm Is A Dancer - 7"" Edit",SNAP!,1992,124,75,79,-11,14,71,226,27,4,67
562,"Crockett's Theme - From ""Miami Vice II"" Soundtrack",Jan Hammer,1991,191,39,41,-17,10,40,215,42,3,58
563,Candy Shop,50 Cent,2005,125,57,61,-8,38,76,209,3,47,78
564,Dragostea Din Tei - Italian Version,O-Zone,2010,130,89,67,-6,10,80,215,4,3,44
565,Big Poppa - 2005 Remaster,The Notorious B.I.G.,1994,84,58,78,-7,14,76,253,43,27,74
566,YMCA - Original Version 1978,Village People,1978,127,97,72,-5,12,73,287,6,14,71
567,Livin' On A Prayer,Bon Jovi,1986,123,89,53,-4,29,80,249,8,3,83
